site_no,site_name,timestamp_utc,flow_cfs
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-02 16:30:00+00:00,3.44
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-02 16:45:00+00:00,3.25
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-02 17:00:00+00:00,3.44
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-02 17:15:00+00:00,3.44
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-11-02 17:30:00+00:00,3.44
1615000,"OPEQUON CREEK NEAR BERRYVILLE, VA",2025-11-02 16:30:00+00:00,13.2
1615000,"OPEQUON CREEK NEAR BERRYVILLE, VA",2025-11-02 16:45:00+00:00,13.2
1615000,"OPEQUON CREEK NEAR BERRYVILLE, VA",2025-11-02 17:00:00+00:00,13.2
1615000,"OPEQUON CREEK NEAR BERRYVILLE, VA",2025-11-02 17:15:00+00:00,13.2
1615000,"OPEQUON CREEK NEAR BERRYVILLE, VA",2025-11-02 17:30:00+00:00,13.2
1616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-02 16:30:00+00:00,5.58
1616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-02 16:45:00+00:00,5.58
1616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-02 17:00:00+00:00,5.58
1616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-02 17:15:00+00:00,5.58
1620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-02 16:30:00+00:00,10.9
1620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-02 16:35:00+00:00,10.9
1620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-02 16:40:00+00:00,10.9
1620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-02 16:45:00+00:00,10.9
1620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-02 16:50:00+00:00,10.9
1620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-02 16:55:00+00:00,10.9
1620500,"NORTH RIVER NEAR STOKESVILLE, VA",2025-11-02 17:00:00+00:00,10.9
1621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-02 16:30:00+00:00,6.47
1621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-02 16:45:00+00:00,6.13
1621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-02 17:00:00+00:00,6.13
1621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-02 17:15:00+00:00,6.47
1621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-02 17:30:00+00:00,6.47
1621050,"MUDDY CREEK AT MOUNT CLINTON, VA",2025-11-02 17:45:00+00:00,6.47
1622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-02 16:30:00+00:00,79.9
1622000,"NORTH RIVER NEAR BURKETOWN, VA",2025-11-02 16:45:00+00:00,79.9
1625000,"MIDDLE RIVER NEAR GROTTOES, VA",2025-11-02 16:30:00+00:00,103.0
1625000,"MIDDLE RIVER NEAR GROTTOES, VA",2025-11-02 16:45:00+00:00,103.0
1625000,"MIDDLE RIVER NEAR GROTTOES, VA",2025-11-02 17:00:00+00:00,103.0
1625000,"MIDDLE RIVER NEAR GROTTOES, VA",2025-11-02 17:15:00+00:00,103.0
